episode,episode_action_type,episode_return,average_episode_return_noise_actions,average_episode_return_actor_actions,episode_grasp_success,#timesteps,#episodes,duration_episode,average_episode_duration
7680,simple,1.1366714406793585,nan,nan,True,16,15001,10.073,9.88083582
7681,simple,0.13605550216318038,nan,nan,False,16,15001,10.187,9.881973977
7682,simple,1.1216263026064728,nan,nan,True,15,15001,10.53,9.884374074
7683,simple,0.13682724444293812,nan,nan,False,16,15001,10.232,9.885656826
7684,simple,0.123238779401633,nan,nan,False,15,15001,10.363,9.887411764
7685,simple,1.1348031776032539,nan,nan,True,16,15001,11.297,9.892575091
7686,simple,0.12293355912289586,nan,nan,False,15,15001,9.23,9.890156934
7687,simple,0.12362913682926999,nan,nan,False,15,15001,10.137,9.891054545
7688,simple,0.1351506804016629,nan,nan,False,16,15001,10.827,9.894445652
7689,simple,0.11962452711956992,nan,nan,False,15,15001,10.33,9.89601805
7690,simple,1.1207715973143753,nan,nan,True,15,15001,10.63,9.898658273
7691,simple,1.12215835470226,nan,nan,True,15,15001,9.396,9.89685663
7692,simple,1.1229032581592961,nan,nan,True,15,15001,9.399000000000001,9.895078570999999
7693,simple,0.12144201360749247,nan,nan,False,15,15001,9.399000000000001,9.893313167
7694,simple,0.1236319696301572,nan,nan,False,15,15001,10.633,9.89593617
7695,simple,1.1219333150432764,nan,nan,True,15,15001,10.595,9.89840636
7696,simple,1.1252617645170406,nan,nan,True,15,15001,9.328,9.896397887
7697,simple,1.1226821968732799,nan,nan,True,15,15001,9.464,9.894880701
7698,simple,0.12331970048070856,nan,nan,False,15,15001,9.463,9.893370629
7699,simple,1.1240092610676367,nan,nan,True,15,15001,10.33,9.894891986
7700,simple,1.1208770879334842,nan,nan,True,15,15001,9.565,9.893746527
7701,simple,1.1230921454760496,nan,nan,True,15,15001,9.395,9.892020761
7702,simple,1.1264688508421432,nan,nan,True,15,15001,9.298,9.889972413
7703,simple,1.1235514827194972,nan,nan,True,15,15001,9.436,9.888412371
7704,simple,0.12467072180128638,nan,nan,False,15,15001,9.39,9.886705479
7705,simple,1.124654869293957,nan,nan,True,15,15001,9.431,9.88515017
7706,simple,1.1217077609181256,nan,nan,True,15,15001,9.431,9.883605442
7707,simple,1.1216355716110415,nan,nan,True,15,15001,9.531,9.882410169
7708,simple,1.1212446551264275,nan,nan,True,15,15001,9.531,9.881222972
7709,simple,1.1214149513805798,nan,nan,True,15,15001,9.497,9.879929292
7710,simple,1.1208878733746248,nan,nan,True,15,15001,9.463,9.878530201
7711,simple,1.123149665753081,nan,nan,True,15,15001,9.368,9.876822742
7712,simple,1.124288993878409,nan,nan,True,15,15001,9.324,9.87498
7713,simple,0.12007978641103484,nan,nan,False,15,15001,9.697,9.874388704
7714,simple,0.1256247272622028,nan,nan,False,15,15001,10.197,9.875456953
7715,simple,1.13641848867174,nan,nan,True,16,15001,11.065,9.879382838
7716,simple,1.1218906457845734,nan,nan,True,15,15001,9.43,9.877904605
7717,simple,1.1382140886765777,nan,nan,True,16,15001,10.195,9.878944262
7718,simple,1.124272699641127,nan,nan,True,15,15001,9.3,9.877052287
7719,simple,0.12198366187499354,nan,nan,False,15,15001,9.393,9.87547557
7720,simple,1.137224405157526,nan,nan,True,16,15001,11.098,9.879444805
7721,simple,1.1207196998513216,nan,nan,True,15,15001,9.497,9.878207119
7722,simple,0.1235180799241852,nan,nan,False,15,15001,9.432,9.876767741
7723,simple,1.1240480855468018,nan,nan,True,15,15001,10.262,9.87800643
7724,simple,0.13675511325587747,nan,nan,False,16,15001,9.931000000000001,9.878176282
7725,simple,1.122256805604434,nan,nan,True,15,15001,10.305,9.879539936
7726,simple,1.120335374140857,nan,nan,True,15,15001,9.723,9.879041401
7727,simple,1.1226608679726242,nan,nan,True,15,15001,9.365,9.877409523
7728,simple,1.1206789714413214,nan,nan,True,15,15001,9.597,9.876522151
7729,simple,0.13657831931256503,nan,nan,False,16,15001,9.965,9.876801261
7730,simple,1.1216880657852457,nan,nan,True,15,15001,9.527,9.875701257
7731,simple,1.1221373753953234,nan,nan,True,15,15001,9.397,9.874200626
7732,simple,0.12090770382912178,nan,nan,False,15,15001,9.33,9.872499999
7733,simple,0.1364039296910719,nan,nan,False,16,15001,11.295,9.876931464
7734,simple,1.1214407541223281,nan,nan,True,15,15001,10.434,9.87866149
7735,simple,0.12166297467007103,nan,nan,False,15,15001,9.361,9.877058823
7736,simple,0.13503048713488425,nan,nan,False,16,15001,10.997,9.880515432
7737,simple,0.12240822971697,nan,nan,False,15,15001,9.465,9.879236923
7738,simple,1.1243169761713272,nan,nan,True,15,15001,10.396,9.880822085
7739,simple,1.1364592888187723,nan,nan,True,16,15001,10.029,9.881275229
7740,simple,0.12144386509245501,nan,nan,False,15,15001,9.229,9.879286585
7741,simple,1.1220019628299962,nan,nan,True,15,15001,9.501,9.878136778
7742,simple,1.1367503280425693,nan,nan,True,16,15001,9.961,9.878387878
7743,simple,1.124972244837846,nan,nan,True,15,15001,9.335,9.876746223
7744,simple,1.124148839310723,nan,nan,True,15,15001,9.56,9.875792168
7745,simple,1.1243236136689414,nan,nan,True,15,15001,9.164,9.873654654
7746,simple,0.12121188865551671,nan,nan,False,15,15001,9.39,9.872206586
7747,simple,0.12399990385614357,nan,nan,False,15,15001,10.128,9.872970149
7748,simple,0.1212397399207608,nan,nan,False,15,15001,10.563,9.875023809
7749,simple,1.123588749461353,nan,nan,True,15,15001,10.498,9.876872403
7750,simple,1.122539228078709,nan,nan,True,15,15001,9.564,9.875946745
7751,simple,0.12027284481346005,nan,nan,False,15,15001,9.493,9.874817109
7752,simple,1.122284556993266,nan,nan,True,15,15001,10.533,9.876752941
7753,simple,0.13753214059415683,nan,nan,False,16,15001,10.161,9.87758651
7754,simple,1.1241506027131425,nan,nan,True,15,15001,9.297,9.875888888
7755,simple,0.1367276357593982,nan,nan,False,16,15001,10.067,9.876446064
7756,simple,1.119662655685898,nan,nan,True,15,15001,10.396,9.877956395
7757,simple,1.1224305297601878,nan,nan,True,15,15001,9.493,9.876840579
7758,simple,0.12255554526092888,nan,nan,False,15,15001,9.235,9.874985549
7759,simple,1.1231079660315042,nan,nan,True,15,15001,9.693,9.874461095000001
7760,simple,0.12315543316065208,nan,nan,False,15,15001,9.23,9.872609195
7761,simple,0.12305863487467461,nan,nan,False,15,15001,10.53,9.874492836
7762,simple,1.1346742927611777,nan,nan,True,16,15001,11.164,9.878177142
7763,simple,0.12415774884249761,nan,nan,False,15,15001,9.33,9.876615384
7764,simple,0.13360788816298072,nan,nan,False,16,15001,11.03,9.879892045
7765,simple,1.1355788862679965,nan,nan,True,16,15001,11.163,9.883526912
7766,simple,0.12284307689427874,nan,nan,False,15,15001,9.497,9.882435028
7767,simple,1.1225737806513565,nan,nan,True,15,15001,10.429,9.883974647
7768,simple,0.12222754132936632,nan,nan,False,15,15001,9.499,9.882893258
7769,simple,0.1360676867065618,nan,nan,False,16,15001,10.862,9.885635854
7770,simple,0.12271238363341708,nan,nan,False,15,15001,10.397,9.887064245
7771,simple,1.1227809897597048,nan,nan,True,15,15001,10.295,9.888200557
7772,simple,1.135364327438522,nan,nan,True,16,15001,10.032,9.8886
